99 59
98 49
97 38
96 56
95 42
94 48
93 53
92 32
91 50
90 59
89 54
88 46
87 56
86 55
85 63
84 50
83 53
82 59
81 53
80 44
79 47
78 45
77 49
76 50
75 44
74 50
73 51
72 58
71 48
70 55
69 55
68 61
67 56
66 45
65 45
64 50
63 40
62 52
61 37
60 48
59 42
58 40
57 51
56 61
55 38
54 51
53 53
52 75
51 53
50 69
49 45
48 60
47 54
46 53
45 49
44 49
43 48
42 50
41 48
40 54
39 50
38 51
37 54
36 53
35 63
34 56
33 53
32 53
31 42
30 62
29 52
28 38
27 57
26 65
25 53
24 49
23 41
22 51
21 57
20 52
19 41
18 48
17 49
16 55
15 52
14 46
13 58
12 50
11 54
10 52
9 56
8 40
7 54
6 39
5 56
4 64
3 52
2 42
1 49
0 47
