99 64
98 9
97 95
96 56
95 84
94 70
93 25
92 78
91 5
90 39
89 68
88 65
87 83
86 37
85 15
84 6
83 95
82 10
81 76
80 69
79 87
78 40
77 20
76 85
75 63
74 41
73 100
72 100
71 92
70 14
69 88
68 13
67 85
66 76
65 9
64 34
63 77
62 68
61 97
60 72
59 53
58 10
57 87
56 55
55 48
54 1
53 66
52 12
51 30
50 20
49 25
48 39
47 2
46 61
45 58
44 29
43 73
42 87
41 91
40 13
39 37
38 18
37 60
36 29
35 51
34 15
33 77
32 3
31 31
30 29
29 89
28 11
27 30
26 27
25 13
24 46
23 8
22 37
21 81
20 1
19 36
18 87
17 21
16 87
15 81
14 39
13 88
12 24
11 6
10 91
9 81
8 50
7 83
6 56
5 71
4 40
3 97
2 57
1 15
0 89
