99 0.0666541
98 0.48127
97 0.123857
96 0.295736
95 0.0899155
94 0.903773
93 0.222128
92 0.0314059
91 0.324949
90 0.0370757
89 0.459914
88 0.144178
87 0.0570547
86 0.242374
85 0.0155721
84 0.508049
83 0.670396
82 0.48158
81 0.205615
80 0.0669909
79 0.31269
78 0.150791
77 0.205077
76 0.177179
75 0.0846055
74 0.149228
73 0.146839
72 0.457962
71 0.656921
70 0.0759605
69 0.376054
68 0.212333
67 1.43804
66 0.756328
65 0.0854355
64 0.150113
63 0.483256
62 0.186388
61 0.000641151
60 0.270783
59 0.564882
58 0.0394284
57 1.30911
56 0.0209895
55 0.528548
54 0.305685
53 0.0456418
52 0.0195474
51 0.177614
50 1.5737
49 0.153373
48 0.286458
47 0.553919
46 0.0168666
45 0.0319535
44 0.306412
43 0.230211
42 0.0236
41 0.602927
40 0.613569
39 0.056992
38 0.194081
37 0.0241906
36 0.104513
35 0.146591
34 0.108327
33 0.368844
32 0.0928743
31 0.0154764
30 0.171523
29 0.0484266
28 0.0334882
27 0.420061
26 0.0962225
25 0.189674
24 0.42861
23 0.01995
22 0.413568
21 0.105316
20 0.00742116
19 0.111187
18 0.193394
17 0.170727
16 0.0280046
15 0.505245
14 0.158532
13 0.100914
12 0.00845922
11 0.321545
10 0.368005
9 0.00545803
8 0.107675
7 0.612083
6 0.620014
5 1.24855
4 0.537631
3 0.101578
2 0.488934
1 1.02194
0 0.0837212
