http://www.baidu.com/	百度一下，你就知道
http://www.baidu.com/	百度一下，你就知道
http://www.baidu.com/baidu.html?from=noscript	百度一下，你就知道
http://www.baidu.com/more/	百度产品大全
http://help.baidu.com/index	百度用户服务中心-首页
http://www.baidu.com/duty/	百度免责声明
http://www.baidu.com/duty/copyright.html	百度知识产权声明
http://www.baidu.com/duty/index.html	百度免责声明
http://www.baidu.com/duty/right.html	百度权利保护声明
http://www.baidu.com/duty/yinsiquan.html	百度隐私权保护声明
http://www.baidu.com/duty/baozhang.html	网民权益保障声明
http://www.baidu.com/duty/yinsiquan.html	百度隐私权保护声明
http://www.baidu.com/duty/safe_control.html	个性化配置工具设置
http://www.baidu.com/search/error.html	页面不存在_百度搜索
http://www.baidu.com/more/index.html	百度产品大全
http://www.baidu.com/search/error.html	页面不存在_百度搜索
http://www.baidu.com/search/jubao.html	百度搜索帮助中心-有害信息举报帮助
http://www.baidu.com/search/error.html	页面不存在_百度搜索
http://www.baidu.com/duty/safe_control.html	个性化配置工具设置
http://www.baidu.com/duty/yinsiquan.html	百度隐私权保护声明
http://www.baidu.com/duty/right.html	百度权利保护声明
http://www.baidu.com/duty/index.html	百度免责声明
http://www.baidu.com/duty/copyright.html	百度知识产权声明
http://www.baidu.com/duty/	百度免责声明
http://help.baidu.com/index	百度用户服务中心-首页
http://www.baidu.com/more/	百度产品大全
http://www.baidu.com/baidu.html?from=noscript	百度一下，你就知道
http://www.baidu.com/	百度一下，你就知道
http://www.baidu.com/gaoji/preferences.html	搜索设置
http://www.baidu.com/	百度一下，你就知道
http://www.baidu.com/cache/sethelp/help.html	把百度设为主页--帮助中心页面
